journey,podróż,wędrówka,przygoda,ścieżka
experience,doświadczenie,przeżycie,praktyka,znajomość
connection,połączenie,związek,relacja,łączność
profession,zawód,profesja,fach,zajęcie
ability,zdolność,umiejętność,talent,kompetencja
anxiety,niepokój,lęk,obawa,trwoga
authority,autorytet,władza,kontrola,zwierzchnictwo
behavior,zachowanie,postępowanie,maniery,sposób bycia
ceremony,ceremonia,obrzęd,rytuał,uroczystość
challenge,wyzwanie,trudność,próba,sprawdzian
community,społeczność,wspólnota,zbiorowość,grupa
discovery,odkrycie,znalezisko,wynalazek,spostrzeżenie
enthusiasm,entuzjazm,zapał,werwa,żarliwość
facility,obiekt,placówka,zakład,budynek
guarantee,gwarancja,rękojmia,poręczenie,zabezpieczenie
heritage,dziedzictwo,spuścizna,tradycja,spadek
influence,wpływ,oddziaływanie,presja,nacisk
judgment,osąd,ocena,sąd,orzeczenie
loyalty,lojalność,wierność,oddanie,przywiązanie
material,materiał,tworzywo,surowiec,substancja
necessity,konieczność,potrzeba,wymóg,niezbędność
objective,cel,zadanie,zamiar,dążenie
procedure,procedura,postępowanie,działanie,tok
quantity,ilość,liczba,kwota,wielkość
reaction,reakcja,odpowiedź,odzew,odzew
security,bezpieczeństwo,ochrona,zabezpieczenie,pewność
technology,technologia,technika,metodyka,inżynieria
variety,różnorodność,rozmaitość,wielość,odmienność
welfare,dobrobyt,pomyślność,dostatek,opieka
acceptance,akceptacja,przyjęcie,zgoda,przyzwolenie
admission,wstęp,dopuszczenie,przyznanie,wejście
ambition,ambicja,aspiracja,dążenie,pragnienie
assumption,założenie,przypuszczenie,domniemanie,teza
boundary,granica,miedza,kraniec,linia
breakfast,śniadanie,poranny posiłek,pierwszy posiłek,jutrznia
capacity,pojemność,zdolność,umiejętność,kompetencja
category,kategoria,grupa,klasa,dział
competition,konkurencja,rywalizacja,współzawodnictwo,turniej
condition,stan,warunek,kondycja,położenie
confusion,zamieszanie,zamęt,niepewność,chaos
consequence,konsekwencja,skutek,następstwo,rezultat
criticism,krytyka,ocena,nagana,zarzut
declaration,deklaracja,oświadczenie,zapewnienie,manifest
definition,definicja,określenie,znaczenie,wyjaśnienie
departure,wyjazd,odjazd,odlot,wyruszenie
description,opis,charakterystyka,przedstawienie,relacja
efficiency,wydajność,efektywność,skuteczność,sprawność
emergency,nagły wypadek,kryzys,urgencja,awaria
enterprise,przedsiębiorstwo,firma,inicjatywa,biznes
equipment,wyposażenie,sprzęt,narzędzia,akcesoria
evaluation,ocena,ewaluacja,wartościowanie,szacowanie
excitement,podekscytowanie,podniecenie,emocje,ekscytacja
exhibition,wystawa,ekspozycja,pokaz,demonstracja
expansion,rozszerzenie,powiększenie,rozwój,rozprzestrzenienie
flexibility,elastyczność,giętkość,gibkość,zdolność adaptacji
foundation,fundacja,fundament,podstawa,baza
frequency,częstotliwość,częstość,regularność,okres
identity,tożsamość,identyfikacja,osobowość,indywidualność
inclusion,włączenie,dołączenie,objęcie,uwzględnienie
indicator,wskaźnik,oznaka,sygnał,oznaczenie
infection,infekcja,zakażenie,zarażenie,choroba
innovation,innowacja,nowość,nowatorstwo,ulepszenie
inspection,inspekcja,kontrola,przegląd,oględziny
intensity,intensywność,natężenie,siła,moc
intention,intencja,zamiar,cel,plan
interaction,interakcja,współdziałanie,wzajemność,obcowanie
interference,ingerencja,wtrącanie,wpływanie,mieszanie
interpretation,interpretacja,wykładnia,tłumaczenie,wyjaśnienie
intervention,interwencja,wkroczenie,wtrącenie,wmieszanie
limitation,ograniczenie,limit,granica,restrykcja
maintenance,utrzymanie,konserwacja,zachowanie,pielęgnacja
mechanism,mechanizm,układ,system,aparatura
motivation,motywacja,pobudka,bodziec,zachęta
occurrence,wystąpienie,zdarzenie,zajście,wydarzenie
opposition,opozycja,sprzeciw,przeciwieństwo,przeciwstawność
perception,percepcja,postrzeganie,wrażenie,odbieranie
performance,występ,wykonanie,przedstawienie,prezentacja
permission,zezwolenie,pozwolenie,zgoda,upoważnienie
possession,posiadanie,własność,mienie,majątek
preference,preferencja,upodobanie,wybór,pierwszeństwo
prevention,zapobieganie,prewencja,profilaktyka,unikanie
reduction,redukcja,zmniejszenie,obniżenie,ograniczenie
reference,odniesienie,referencja,wzmianka,powołanie
reflection,refleksja,odbicie,zastanowienie,przemyślenie
regulation,regulacja,przepis,zasada,reguła
resistance,opór,sprzeciw,przeciwstawienie,odporność
resolution,rozwiązanie,rezolucja,postanowienie,uchwała
restriction,ograniczenie,restrykcja,zakaz,wstrzymanie
retirement,emerytura,wycofanie,rezygnacja,ustąpienie
selection,wybór,selekcja,dobór,wyselekcjonowanie
sensitivity,wrażliwość,czułość,delikatność,podatność
separation,rozdzielenie,oddzielenie,separacja,podział
significance,znaczenie,waga,istotność,doniosłość
similarity,podobieństwo,zbieżność,analogia,pokrewieństwo
specialist,specjalista,fachowiec,ekspert,znawca
stability,stabilność,stałość,trwałość,równowaga
substance,substancja,materia,tworzywo,esencja
succession,następstwo,sukcesja,kolejność,ciąg
suspension,zawieszenie,przerwanie,wstrzymanie,zawiesina
transition,przejście,transformacja,przemiana,zmiana
variation,wariacja,odmiana,różnica,modyfikacja
